المصطلح العربي,المقابل الإنجليزي,الجذر,الوزن,معلومات إضافية,التعريف,المثال,المصدر التعريف,صفحة التعريف,المصدر المثال,صفحة المثال,المجال
الْأَبْجَدِيَّةُ الصَّوْتِيَّةُ الدَّوْلِيَّةُ,International Phonetic Alphabet,,,,"التَّمْثِيلُ الصَّوْتِيُّ الْمِعْيَارِيُّ لِتَدْوِينِ لُغَاتِ الْعَالَمِ / The standard phonetic representation for transcribing the world's languages is IPA","The IPA provides a symbol /k/ which stands unambiguously for the phoneme which is variously written as © (car).","Jurafsky, D., & Martin, J. H. Speech and Language Processing",310,"International Phonetic Association. (1999). Handbook of the International Phonetic Alphabet. Cambridge University Press.",27,علم الأصوات
فونيم,Phoneme,,,اسم,أَصْغَرُ وَحْدَةٍ صَوْتِيَّةٍ تُغَيِّرُ الْمَعْنَى فِي كَلِمَاتِ اللُّغَةِ,"الصوتان س/و ص فونيمان مختلفان في العربية كما في كلمتي ""سد"" بمعنى حاجز الماء، و""صد"" بمعنى أعرض.","الْفَيْفِيُّ، ع. ي. (مُحَرِّرٌ). (1445 هـ). مَدْخَلٌ إِلَى اللِّسَانِيَّاتِ الْحَاسُوبِيَّةِ. مَجْمَعُ الْمَلِكِ سَلْمَانَ الْعَالَمِيُّ لِلُّغَةِ الْعَرَبِيَّةِ.",13,"الْفَيْفِيُّ، ع. ي. (مُحَرِّرٌ). (1445 هـ). مَدْخَلٌ إِلَى اللِّسَانِيَّاتِ الْحَاسُوبِيَّةِ. مَجْمَعُ الْمَلِكِ سَلْمَانَ الْعَالَمِيُّ لِلُّغَةِ الْعَرَبِيَّةِ.",13,علم الأصوات
رَسْمٌ طَيْفِيٌّ,Spectrogram,ر س م,فَعْل,اسم,"تَمْثِيلٌ مَرْئِيٌّ ثُلَاثِيُّ الْأَبْعَادِ لِتَرَدُّدِ الْإِشَارَاتِ الصَّوْتِيَّةِ وَتَغَيُّرِهَا عَبْرَ مِحْوَرِ الزَّمَنِ وَشِدَّتِهَا / A spectrogram is a way of envisioning how the different frequencies that make up a waveform change over time","The spectrogram is a useful way of visualizing the three dimensions (time × frequency × amplitude)","السَّعِيدُ، ا. ب. (مُحَرِّرٌ). (2019). الْعَرَبِيَّةُ وَالذَّكَاءُ الِاصْطِنَاعِيُّ (ط. 1). مَرْكَزُ الْمَلِكِ عَبْدِ اللهِ بْنِ عَبْدِ الْعَزِيزِ الدَّوْلِيِّ.",140,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",327,معالجة الإشارات
تَرَدُّدٌ أَسَاسِيٌّ,Fundamental Frequency,ر د د,تَفَعُّل,,"تَرَدُّدُ اهْتِزَازِ الْأَوْتَارِ الصَّوْتِيَّةِ، أَوْ تَرَدُّدُ الْمَوْجَةِ الْمُرَكَّبَةِ / The frequency of the vocal fold vibration, or the frequency of the complex wave","تختلف قيم هذا التردد الأساسي بين الذكور والإناث، فعلى سبيل المثال تبلغ قيمه عند الذكور البالغين ما بين 85 و180 هيرتز في حين تبلغ قيمه عند الإناث البالغات ما بين 165 و255 هيرتز","Jurafsky, D., & Martin, J. H. Speech and Language Processing",322,"السَّعِيدُ، ا. ب. (مُحَرِّرٌ). (2019). الْعَرَبِيَّةُ وَالذَّكَاءُ الِاصْطِنَاعِيُّ (ط. 1). مَرْكَزُ الْمَلِكِ عَبْدِ اللهِ بْنِ عَبْدِ الْعَزِيزِ الدَّوْلِيِّ.",151,علم الأصوات
النَّغْمَةُ الصَّوْتِيَّةُ,Pitch,ن غ م,فَعْلَة,,"الْإِحْسَاسُ الذِّهْنِيُّ، أَوِ الْمُتَلَازِمُ الْإِدْرَاكِيُّ لِلتَّرَدُّدِ الْأَسَاسِيِّ / The pitch of a sound is the mental sensation, or perceptual correlate, of fundamental frequency","If a sound has a higher fundamental frequency we perceive it as having a higher pitch","Jurafsky, D., & Martin, J. H. Speech and Language Processing",323,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",323,علم الأصوات
عِلْمُ الْعَرُوضِ,Prosody,ع ر ض,,,"دِرَاسَةُ الْجَوَانِبِ التَّنْغِيمِيَّةِ وَالْإِيقَاعِيَّةِ لِلُّغَةِ / Prosody is the study of the intonational and rhythmic aspects of language",Prosody can be used to mark discourse structure like the difference between statements and questions,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",317,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",317,علم الأصوات
عِلْمُ الصَّوْتِيَّاتِ النُّطْقِيَّةِ,Articulatory Phonetics,,,علم,Articulatory phonetics is the study of how these phones are produced as the various articulatory organs in the mouth throat and nose modify the airflow from the lungs,"The air stream is either restricted, redirected, or stopped","Jurafsky, D., & Martin, J. H. Speech and Language Processing",312,"Moore, D. (2010). Comprehensive Articulatory Phonetics",3,علم الأصوات
النَّمْذَجَةُ الصَّوْتِيَّةُ,Acoustic Modeling,ن م ذ ج,فَعْلَلَة,,"تُقِيمُ الْعَلَاقَةَ بَيْنَ الْمَعْلُومَاتِ الصَّوْتِيَّةِ وَالْوَحْدَةِ اللُّغَوِيَّةِ / Establishes the relation between acoustic information and linguistic unit","Acoustic Modeling is an initial and essential process in speech recognition","Bhatt, S., Jain, A., & Dev, A. (2020). Acoustic modeling in speech recognition. International Journal of Advanced Computer Science and Applications, 11(4), 397-408",397,"Bhatt, S., Jain, A., & Dev, A. (2020). Acoustic modeling in speech recognition. International Journal of Advanced Computer Science and Applications, 11(4), 397-408",397,معالجة الكلام
مِيلْ,Mel,,,وحدة قياس,Is a unit of pitch,Pairs of sounds that are perceptually equidistant in pitch are separated by an equal number of mels,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",333-334,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",333-334,معالجة الإشارات
مُعَدَّلُ خَطَأِ الْكَلِمَاتِ,Word Error Rate,,,معدل,The standard evaluation metric for speech recognition systems is the word error rate,The word error rate is based on how much the word string returned by the recognizer (the hypothesized word string) differs from a reference transcription,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",359,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",359,معالجة الكلام
التَّعَرُّفُ عَلَى الْكَلَامِ,Speech Recognition,ع ر ف,تَفَعُّل,,"تَحْوِيلُ الْمَوْجَاتِ الصَّوْتِيَّةِ إِلَى نَصٍّ مَكْتُوبٍ / Transcribing waveforms into text",,,,,,معالجة الكلام
تَحْوِيلُ النَّصِّ إِلَى كَلَامٍ,Text-to-Speech,ح و ل,تَفْعِيل,,"تَحْوِيلُ النَّصِّ إِلَى مَوْجَاتٍ صَوْتِيَّةٍ / The task of text-to-speech is to generate a speech waveform that corresponds to a desired text, using a particular voice specified by the user",Also called speech synthesis,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",365-366,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",365,معالجة الكلام
الرَّنِينُ,Formant,ر ن ن,فَعِيل,,A frequency band that is particularly amplified by the vocal tract,Each dark bar (or spectral peak) is called a formant,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",313,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",313,علم الأصوات
عِلْمُ الْأَصْوَاتِ,Phonetics,,,علم,"دِرَاسَةُ أَصْوَاتِ الْكَلَامِ الْمُسْتَخْدَمَةِ فِي لُغَاتِ الْعَالَمِ، وَكَيْفِيَّةِ إِنْتَاجِهَا فِي الْمَجْرَى الصَّوْتِيِّ الْبَشَرِيِّ، وَكَيْفِيَّةِ تَحَقُّقِهَا فِيزْيَائِيًّا/صَوْتِيًّا، وَكَيْفِيَّةِ رَقْمَنَتِهَا وَمُعَالَجَتِهَا / The study of the speech sounds used in the languages of the world, how they are produced in the human vocal tract, how they are realized acoustically, and how they can be digitized and processed",Both technologies rely on phonetics the study of the speech sounds used in the languages of the world,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",310,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",310,علم الأصوات
الطَّاقَةُ,Energy,ط و ق,فَعَالَة,,The acoustic quality that we perceive as loudness,"We can think of energy as the acoustic quality that we perceive as loudness, and F0 as the frequency of the sound that is produced","Jurafsky, D., & Martin, J. H. Speech and Language Processing",317,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",317,معالجة الإشارات
التَّكْمِيَةُ,Quantization,ك م ي,تَفْعِلَة,,This process of representing real-valued numbers as integers is called quantization,"They are usually stored as integers, either 8 bit (values from -128–127) or 16 bit (values from -32768–32767)","Jurafsky, D., & Martin, J. H. Speech and Language Processing",321,"Jurafsky, D., & Martin, J. H. Speech and Language Processing",321,معالجة الإشارات
سِنْتْ,Cent,,,وحدة قياس,وَحْدَةُ قِيَاسِ طَبَقَةِ الصَّوْتِ وَتُنَاظِرُ وَاحِدًا مِنْ مِئَةِ جُزْءٍ مِنْ نِصْفِ النَّغْمَةِ,,"مَجْمَعُ اللُّغَةِ الْعَرَبِيَّةِ. (2012). مُعْجَمُ مُصْطَلَحَاتِ الْحَاسِبَاتِ (ط. 4). مَجْمَعُ اللُّغَةِ الْعَرَبِيَّةِ.",97,,,علم الأصوات
بَصْمَةُ الصَّوْتِ,Voice Print,ب ص م,فَعْلَة,,"شَكْلٌ مَطْبُوعٌ مُمَيَّزٌ يَنْتُجُ عَنْ تَسْجِيلِ الصَّوْتِ، يُسْتَخْدَمُ لِلتَّحَقُّقِ مِنْ هُوِيَّةِ صَاحِبِ هٰذَا الصَّوْتِ",,"مَجْمَعُ اللُّغَةِ الْعَرَبِيَّةِ. (2012). مُعْجَمُ مُصْطَلَحَاتِ الْحَاسِبَاتِ (ط. 4). مَجْمَعُ اللُّغَةِ الْعَرَبِيَّةِ.",569,,,معالجة الكلام
